Date,Amount,Category,Description
2024-02-21 10:46:32.872609,837.54,Shopping,Doctor visit
2021-03-07 10:46:32.872609,740.55,Utilities,Watched a movie
2020-09-11 10:46:32.872609,407.99,Shopping,Watched a movie
2024-09-17 10:46:32.872609,129.59,Travel,Electricity bill
2022-02-05 10:46:32.872609,687.25,Travel,Paid for groceries
2021-12-05 10:46:32.872609,550.43,Health,Doctor visit
2021-10-22 10:46:32.872609,328.37,Entertainment,Watched a movie
2021-05-03 10:46:32.872609,965.05,Shopping,Watched a movie
2024-09-07 10:46:32.872609,221.1,Utilities,Watched a movie
2021-02-16 10:46:32.872609,55.13,Food,Doctor visit
2024-05-07 10:46:32.872609,181.71,Entertainment,Bought clothes
2024-09-15 10:46:32.872609,72.59,Travel,Uber ride
2023-08-12 10:46:32.872609,281.15,Education,Uber ride
2021-01-16 10:46:32.872609,759.97,Shopping,Paid for groceries
2023-11-13 10:46:32.872609,176.37,Shopping,Uber ride
2022-12-03 10:46:32.872609,376.23,Entertainment,Online course fee
2020-09-25 10:46:32.872609,173.36,Health,Doctor visit
2020-09-21 10:46:32.872609,251.21,Food,Doctor visit
2021-01-29 10:46:32.872609,586.17,Health,Bought clothes
2021-10-12 10:46:32.872609,142.04,Shopping,Watched a movie
2021-11-10 10:46:32.872609,793.14,Travel,Watched a movie
2023-05-22 10:46:32.872609,635.87,Education,Doctor visit
2023-12-06 10:46:32.872609,382.37,Travel,Online course fee
2020-09-14 10:46:32.872609,166.18,Utilities,Online course fee
2023-09-14 10:46:32.872609,880.83,Shopping,Electricity bill
2021-09-02 10:46:32.872609,89.92,Shopping,Electricity bill
2024-07-27 10:46:32.872609,17.15,Utilities,Doctor visit
2024-03-13 10:46:32.872609,926.88,Utilities,Electricity bill
2024-06-27 10:46:32.872609,709.67,Health,Uber ride
2023-08-12 10:46:32.872609,597.79,Utilities,Lunch with friends
2022-11-28 10:46:32.872609,290.89,Entertainment,Lunch with friends
2021-10-16 10:46:32.872609,696.57,Health,Paid for groceries
2023-01-27 10:46:32.872609,794.32,Utilities,Doctor visit
2023-11-10 10:46:32.872609,481.25,Shopping,Online course fee
2022-02-11 10:46:32.872609,135.62,Travel,Online course fee
2025-02-03 10:46:32.872609,151.66,Shopping,Paid for groceries
2025-06-06 10:46:32.872609,278.24,Travel,Bought clothes
2020-08-04 10:46:32.872609,455.91,Education,Online course fee
2024-10-23 10:46:32.872609,246.86,Entertainment,Uber ride
2025-01-27 10:46:32.872609,182.8,Food,Online course fee
2021-06-13 10:46:32.872609,694.76,Utilities,Electricity bill
2024-06-20 10:46:32.872609,600.31,Travel,Watched a movie
2022-12-04 10:46:32.872609,720.03,Entertainment,Online course fee
2022-06-18 10:46:32.872609,615.93,Food,Paid for groceries
2022-02-11 10:46:32.872609,97.14,Entertainment,Lunch with friends
2021-06-05 10:46:32.872609,828.22,Education,Paid for groceries
2021-10-05 10:46:32.872609,308.19,Education,Watched a movie
2024-11-01 10:46:32.872609,424.6,Education,Lunch with friends
2022-06-11 10:46:32.872609,562.13,Health,Electricity bill
2021-02-16 10:46:32.872609,199.98,Health,Online course fee
2021-01-27 10:46:32.872609,986.74,Shopping,Online course fee
2022-09-08 10:46:32.872609,977.02,Shopping,Paid for groceries
2021-02-05 10:46:32.872609,622.73,Health,Electricity bill
2022-07-27 10:46:32.872609,864.1,Entertainment,Bought clothes
2025-04-22 10:46:32.872609,986.91,Travel,Doctor visit
2022-06-26 10:46:32.872609,512.47,Health,Uber ride
2023-12-10 10:46:32.872609,469.57,Food,Doctor visit
2022-01-14 10:46:32.872609,630.2,Shopping,Doctor visit
2025-01-29 10:46:32.872609,216.03,Food,Paid for groceries
2020-10-18 10:46:32.872609,62.54,Entertainment,Uber ride
2024-08-24 10:46:32.872609,121.55,Education,Doctor visit
2023-02-17 10:46:32.872609,157.73,Travel,Bought clothes
2023-07-25 10:46:32.872609,845.34,Health,Paid for groceries
2021-04-03 10:46:32.872609,912.37,Shopping,Uber ride
2022-09-05 10:46:32.872609,502.54,Food,Lunch with friends
2020-12-30 10:46:32.872609,168.16,Health,Bought clothes
2023-08-26 10:46:32.872609,923.45,Shopping,Uber ride
2022-03-14 10:46:32.872609,63.49,Travel,Online course fee
2025-03-16 10:46:32.872609,370.55,Food,Lunch with friends
2024-01-30 10:46:32.872609,217.49,Shopping,Uber ride
2024-01-09 10:46:32.872609,258.87,Health,Doctor visit
2025-07-09 10:46:32.872609,620.65,Travel,Online course fee
2025-05-21 10:46:32.872609,891.18,Travel,Paid for groceries
2022-08-01 10:46:32.872609,458.62,Shopping,Doctor visit
2023-10-17 10:46:32.872609,113.38,Education,Lunch with friends
2021-08-19 10:46:32.872609,61.93,Health,Paid for groceries
2024-07-03 10:46:32.872609,541.99,Health,Doctor visit
2020-12-11 10:46:32.872609,166.47,Travel,Electricity bill
2020-10-23 10:46:32.872609,38.77,Entertainment,Electricity bill
2024-04-06 10:46:32.872609,519.75,Health,Watched a movie
2021-10-31 10:46:32.872609,80.15,Entertainment,Watched a movie
2024-11-21 10:46:32.872609,242.95,Travel,Uber ride
2022-03-06 10:46:32.872609,450.37,Education,Bought clothes
2021-01-01 10:46:32.872609,583.96,Food,Bought clothes
2025-05-08 10:46:32.872609,424.88,Utilities,Doctor visit
2021-11-10 10:46:32.872609,749.62,Travel,Watched a movie
2025-05-31 10:46:32.872609,899.39,Travel,Lunch with friends
2021-02-13 10:46:32.872609,237.76,Travel,Watched a movie
2022-09-08 10:46:32.872609,119.03,Entertainment,Paid for groceries
2022-02-11 10:46:32.872609,235.5,Entertainment,Online course fee
2023-02-05 10:46:32.872609,244.75,Entertainment,Watched a movie
2024-02-13 10:46:32.872609,418.47,Travel,Doctor visit
2025-03-26 10:46:32.872609,207.96,Health,Bought clothes
2022-08-08 10:46:32.872609,892.45,Shopping,Uber ride
2021-06-20 10:46:32.872609,82.79,Travel,Doctor visit
2022-08-19 10:46:32.872609,589.24,Food,Lunch with friends
2022-07-19 10:46:32.872609,63.8,Health,Paid for groceries
